"Longitude","Latitude","Class"
"59.00","17.00","BARO"
"59.50","21.00","BARO"
"60.00","12.00","BARO"
"60.50","16.00","BARO"
"61.00","13.00","BARO"
"61.00","15.00","BARO"
"61.50","17.00","BARO"
"61.50","19.00","BARO"
"62.00","14.00","BARO"
"63.00","15.00","TROP"
"63.50","19.00","TROP"
"64.00","12.00","TROP"
"64.50","16.00","TROP"
"65.00","12.00","TROP"
"65.00","15.00","TROP"
"65.00","17.00","TROP"
"65.50","16.00","TROP"
"65.50","19.00","TROP"
"65.50","21.00","TROP"
"66.00","13.00","TROP"
"66.00","14.00","TROP"
"66.00","17.00","TROP"
"66.50","17.00","TROP"
"66.50","18.00","TROP"
"66.50","21.00","TROP"
"67.00","14.00","TROP"
"67.50","18.00","TROP"
"68.00","14.00","BARO"
"68.50","18.00","BARO"
"69.00","13.00","BARO"
"69.00","15.00","BARO"
"69.50","17.00","BARO"
"69.50","19.00","BARO"
"70.00","12.00","BARO"
"70.50","16.00","BARO"
"71.00","17.00","BARO"
"71.50","21.00","BARO"
